gmgoCd,gmgoNm,location,MG더뱅킹정기예금,MG더뱅킹정기적금,MG더뱅킹자유적금,기준일
4544,푸른,충북 청주시,4.00,4.20,4.00,2023/07/28
4548,산미,충북 청주시,4.40,4.40,4.40,2023/07/28
4601,청남,충북 청주시,4.30,4.00,4.00,2023/07/28
4603,금강,충북 청주시,,,,2023/07/28
4606,오송,충북 청주시,4.50,4.70,4.50,2023/07/28
4607,오미,충북 청주시,,,,2023/07/28
4608,북청주,충북 청주시,4.00,4.00,4.00,2023/07/28
4609,오창,충북 청주시,,,,2023/07/28
4610,보은,충북 보은군,1.70,2.00,2.00,2023/07/28
4614,옥천,충북 옥천군,,,,2023/07/28
4617,이원,충북 옥천군,,,,2023/07/28
4622,묵정,충북 영동군,,,,2023/07/28
4624,영동,충북 영동군,,,,2023/07/28
4625,진천,충북 진천군,4.40,4.30,4.30,2023/07/28
4628,상진,충북 진천군,4.20,4.50,3.90,2023/07/28
4701,충주SM,충북 충주시,3.90,3.90,3.90,2023/07/28
4702,예성,충북 충주시,,,,2023/07/28
4703,교현,충북 충주시,3.90,4.00,3.90,2023/07/28
4704,문화,충북 충주시,3.90,4.00,3.90,2023/07/28
4705,남충주,충북 충주시,3.90,4.00,4.00,2023/07/28
4707,새충주,충북 충주시,4.00,4.00,4.00,2023/07/28
4710,연수,충북 충주시,3.80,2.50,3.60,2023/07/28
4716,지현,충북 충주시,3.85,3.60,3.50,2023/07/28
4717,동제천,충북 제천시,3.70,3.60,3.70,2023/07/28
4719,신제천,충북 제천시,3.50,3.40,2.80,2023/07/28
4720,동현,충북 제천시,3.20,3.20,1.60,2023/07/28
4726,불정,충북 괴산군,,,,2023/07/28
4727,증평,충북 증평군,3.60,3.20,,2023/07/28
4731,괴산,충북 괴산군,3.90,4.10,4.10,2023/07/28
4733,음성,충북 음성군,3.80,3.80,3.80,2023/07/28
4734,비석,충북 음성군,4.00,4.00,4.30,2023/07/28
4737,한마음,충북 음성군,3.90,4.00,4.00,2023/07/28
4738,대동,충북 음성군,3.70,3.90,3.60,2023/07/28
4740,삼왕,충북 음성군,3.60,3.40,3.10,2023/07/28
4745,단양,충북 단양군,4.10,4.10,4.10,2023/07/28
4749,애플,충북 충주시,4.00,4.00,3.90,2023/07/28
4803,남전주,전북 전주시,4.10,5.00,4.50,2023/07/28
4805,열린,전북 전주시,4.80,4.00,4.00,2023/07/28
4808,늘푸른,전북 전주시,4.50,4.00,3.50,2023/07/28
4809,중부,전북 전주시,4.30,4.40,4.00,2023/07/28
4810,동부,전북 전주시,,,,2023/07/28
4812,덕진,전북 전주시,4.40,,1.99,2023/07/28
4813,금암,전북 전주시,4.50,4.10,2.00,2023/07/28
4814,신도,전북 전주시,4.50,4.50,4.20,2023/07/28
4815,전주송천,전북 전주시,4.50,3.60,3.53,2023/07/28
4816,조촌,전북 전주시,4.50,4.00,2.50,2023/07/28
4818,서전주,전북 전주시,4.50,4.50,4.10,2023/07/28
4820,신전주,전북 전주시,4.50,3.30,2.90,2023/07/28
4822,전북대학교병원,전북 전주시,,,,2023/07/28
4825,전북대학교,전북 전주시,,,,2023/07/28
4827,휴비스,전북 전주시,,,,2023/07/28
4831,남부,전북 전주시,4.00,,,2023/07/28
4901,남원,전북 남원시,3.90,4.40,3.10,2023/07/28
4903,남원중앙,전북 남원시,3.50,4.20,3.00,2023/07/28
4905,운봉,전북 남원시,,,,2023/07/28
4906,지리산,전북 남원시,,,,2023/07/28
4907,동남원,전북 남원시,2.74,2.40,2.40,2023/07/28
4909,완주,전북 완주군,3.40,3.40,3.00,2023/07/28
4911,한누리,전북 완주군,3.20,3.00,3.00,2023/07/28
4912,진안,전북 진안군,,,,2023/07/28
4913,진안동부,전북 진안군,1.10,1.00,1.00,2023/07/28
4919,설천,전북 무주군,,,,2023/07/28
4920,무주,전북 무주군,,,,2023/07/28
4923,장수,전북 장수군,4.20,4.30,4.30,2023/07/28
4924,장계,전북 장수군,,,,2023/07/28
4925,산서,전북 장수군,,,,2023/07/28
4926,임실,전북 임실군,,,,2023/07/28
4931,순창,전북 순창군,3.80,3.80,3.80,2023/07/28
4936,쌍치,전북 순창군,,,,2023/07/28
5001,정읍,전북 정읍시,5.00,4.50,4.50,2023/07/28
5003,연지,전북 정읍시,5.00,4.70,3.20,2023/07/28
5004,상명,전북 정읍시,5.00,4.70,2.00,2023/07/28
5006,태인,전북 정읍시,,,,2023/07/28
5007,산외,전북 정읍시,,,,2023/07/28
5008,신태인,전북 정읍시,,,,2023/07/28
5009,감곡,전북 정읍시,,4.50,,2023/07/28
5012,고창,전북 고창군,4.10,4.50,2.20,2023/07/28
5021,부령,전북 부안군,3.80,4.00,3.50,2023/07/28
5028,남부안,전북 부안군,3.50,3.30,3.30,2023/07/28
5105,군산중부,전북 군산시,3.80,4.00,1.60,2023/07/28
5111,동군산,전북 군산시,,,,2023/07/28
5112,군산제일,전북 군산시,4.00,,3.00,2023/07/28
5113,금강,전북 군산시,4.50,,,2023/07/28
5116,남군산,전북 군산시,4.30,3.50,2.00,2023/07/28
5122,이리평화,전북 익산시,4.20,4.30,3.73,2023/07/28
5123,인화,전북 익산시,4.50,4.00,4.00,2023/07/28
5125,익산서부,전북 익산시,4.50,4.00,3.00,2023/07/28
5128,신익산,전북 익산시,3.50,3.00,3.00,2023/07/28
5132,원광대학교,전북 익산시,,,,2023/07/28
5134,익산중앙,전북 익산시,4.30,4.00,2.98,2023/07/28
5135,원광,전북 익산시,4.50,3.50,1.99,2023/07/28
5136,북부,전북 익산시,4.01,4.20,3.73,2023/07/28
5138,김제하나,전북 김제시,3.99,4.02,3.51,2023/07/28
5140,만경,전북 김제시,4.30,4.00,1.60,2023/07/28
5141,지평선,전북 김제시,5.00,4.50,4.50,2023/07/28
5144,새만금,전북 김제시,5.03,4.00,4.00,2023/07/28
5201,늘푸른,경북 포항시,,,,2023/07/28
5205,대신,경북 포항시,3.60,3.60,3.60,2023/07/28
5207,학산,경북 포항시,,,,2023/07/28
5209,대양,경북 포항시,1.40,1.40,1.30,2023/07/28
5210,영포,경북 포항시,3.30,3.50,3.00,2023/07/28
5211,송도,경북 포항시,,,,2023/07/28
5212,신포항,경북 포항시,3.50,2.70,2.60,2023/07/28
5213,포항,경북 포항시,,,,2023/07/28
5214,형산,경북 포항시,3.90,4.00,3.90,2023/07/28
5215,포항용흥,경북 포항시,,,,2023/07/28
5216,효용,경북 포항시,,,,2023/07/28
5217,영일대,경북 포항시,,,,2023/07/28
5218,미래,경북 포항시,,,,2023/07/28
5219,남포항,경북 포항시,3.90,3.90,,2023/07/28
5220,북포항,경북 포항시,,,,2023/07/28
5221,우리,경북 포항시,3.80,4.00,4.00,2023/07/28
5222,상대,경북 포항시,3.80,3.80,3.80,2023/07/28
5223,신경북,경북 포항시,3.80,3.60,3.60,2023/07/28
5225,장량동,경북 포항시,3.80,3.80,3.20,2023/07/28
5226,동포항,경북 포항시,4.30,,,2023/07/28
5227,영일,경북 포항시,,,,2023/07/28
5228,흥해,경북 포항시,3.80,3.80,3.40,2023/07/28
5231,서포항,경북 포항시,3.60,3.60,3.60,2023/07/28
5234,포항제일,경북 포항시,3.00,3.00,3.00,2023/07/28
5237,오천,경북 포항시,,,,2023/07/28
5240,경북항운노동조합,경북 포항시,,,,2023/07/28
5242,현대제철,경북 포항시,,,,2023/07/28
5246,성당,경북 포항시,4.30,4.20,4.20,2023/07/28
5247,포항중앙,경북 포항시,,,,2023/07/28
5301,우성,경북 경주시,,,,2023/07/28
5302,성동,경북 경주시,4.00,4.00,4.00,2023/07/28
5303,신경주,경북 경주시,3.80,4.00,2.10,2023/07/28
5305,경주,경북 경주시,,1.60,1.10,2023/07/28
5306,남경주,경북 경주시,3.70,3.60,3.30,2023/07/28
5307,북경주,경북 경주시,3.80,3.80,3.80,2023/07/28
5309,동경주,경북 경주시,,,,2023/07/28
5310,양남,경북 경주시,3.90,3.90,3.70,2023/07/28
5313,강동,경북 경주시,,,,2023/07/28
5315,현곡,경북 경주시,4.20,1.30,1.20,2023/07/28
5322,(주)풍산안강공장,경북 경주시,,,,2023/07/28
5326,영덕,경북 영덕군,,,,2023/07/28
5329,영해,경북 영덕군,2.00,2.00,,2023/07/28
5330,울진,경북 울진군,3.70,3.50,3.50,2023/07/28
5332,죽변,경북 울진군,3.50,3.50,3.30,2023/07/28
5333,후포,경북 울진군,,,,2023/07/28
5337,울릉,경북 울릉군,,,,2023/07/28
5338,내남,경북 경주시,4.00,4.00,4.00,2023/07/28
5400,새김천,경북 김천시,3.20,3.20,3.10,2023/07/28
5402,김천중앙,경북 김천시,,,,2023/07/28
5403,김천동부,경북 김천시,,,,2023/07/28
5405,김천평화,경북 김천시,3.80,4.00,3.70,2023/07/28
5408,대신동,경북 김천시,4.80,,,2023/07/28
5422,상산,경북 상주시,3.70,3.50,3.50,2023/07/28
5424,함창,경북 상주시,3.70,2.50,2.00,2023/07/28
5426,화령,경북 상주시,,,,2023/07/28
5427,새상주,경북 상주시,3.50,3.50,3.50,2023/07/28
5428,백화,경북 상주시,,,,2023/07/28
5501,송정,경북 구미시,4.30,4.00,4.00,2023/07/28
5502,금오,경북 구미시,3.80,,,2023/07/28
5504,도량,경북 구미시,4.65,4.65,4.65,2023/07/28
5505,지산,경북 구미시,,,,2023/07/28
5506,원남,경북 구미시,4.00,3.80,3.80,2023/07/28
5507,중앙,경북 구미시,4.62,3.80,3.70,2023/07/28
5509,공단,경북 구미시,4.62,3.60,3.60,2023/07/28
5511,사곡,경북 구미시,3.60,4.00,3.60,2023/07/28
5512,상모,경북 구미시,4.62,4.55,4.55,2023/07/28
5513,구미강동,경북 구미시,4.57,3.80,3.70,2023/07/28
5514,임오,경북 구미시,4.30,4.30,4.00,2023/07/28
5515,형곡,경북 구미시,3.70,3.60,3.50,2023/07/28
5516,새비산,경북 구미시,4.40,,,2023/07/28
5517,선산,경북 구미시,,,,2023/07/28
5519,도개,경북 구미시,4.62,,,2023/07/28
5524,고아,경북 구미시,4.30,3.50,3.40,2023/07/28
5544,엘지전자구미,경북 구미시,,,,2023/07/28
5547,해평,경북 구미시,4.40,,,2023/07/28
5548,구미,경북 구미시,3.60,4.20,4.00,2023/07/28
5601,영동,경북 영천시,1.80,2.50,1.20,2023/07/28
5602,교동,경북 영천시,,,,2023/07/28
5603,영천,경북 영천시,,,,2023/07/28
5605,금호,경북 영천시,3.80,4.00,2.70,2023/07/28
5606,냉천,경북 영천시,3.50,3.50,2.30,2023/07/28
